gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,phi,uncalibrated_pvalue,uncalibrated_zscore
ENSG00000174721.9,FGFBP3,3.9719636825839464,0.5821923836886592,7.128258918900768e-05,0.003122534160992693,0.017040164290738992,0.04417831348884119,NA,14,16,16,1.4893801830799228e-05,9.132278501777712e-13,7.142989228644458
ENSG00000115241.10,PPM1G,-1.887538317957115,-0.9500039387077269,0.0590879575483258,0.0012113054009467714,0.034302378160912264,0.003755388389647058,NA,6,8,8,8.664901286537163e-05,1.6429588612933703e-12,-7.061853728144844
ENSG00000073849.14,ST6GAL1,4.246384092103873,0.21507213710448353,2.1724808436226116e-05,0.021246642229052825,0.19511402931772784,3.661979727099466e-13,NA,16,20,20,1.1589607153842661e-05,2.109964010563533e-12,7.027016515281634
ENSG00000231852.6,CYP21A2,1.348285570804829,0.22219326045332535,0.17756655121664844,0.016800431985660072,0.01696050714638399,0.04418303738547117,NA,52,58,58,0.00015742004932611537,2.2462904983277645e-11,6.689046698213533
ENSG00000204396.10,VWA7,-1.7354438293629013,-0.2205266669078942,0.08266222253271883,0.018303340987696388,0.1396068604542832,2.6911961690869804e-09,NA,49,56,56,9.191732063739361e-05,2.4962406412046008e-11,-6.673587834967095
ENSG00000198502.5,HLA-DRB5,-1.1330479235957829,-0.09884223302609585,0.25719412867282576,0.07977939077730255,0.591491489570453,6.749778929156777e-54,NA,37,45,45,0.0002236069347261251,2.7549654718628177e-11,-6.6591068788374095
ENSG00000206344.7,HCG27,1.246019460225613,0.1653257448517608,0.21275725090932518,0.03266195830325274,0.2791605033954137,3.1174023678855747e-19,NA,30,43,43,0.00018173314896558862,3.499545906592965e-11,6.623853085602944
ENSG00000103932.11,RPAP1,-2.403471111811074,-0.1986198798325248,0.01624025010321179,0.022102223676563677,0.19449269595792976,4.94151313459669e-13,NA,24,32,32,4.3302929777211785e-05,4.6989423937287555e-11,-6.580175201148354
ENSG00000134250.19,NOTCH2,-3.2082913183694535,-0.25916100552926674,0.001335261712033613,0.014874372554641002,0.16965109993354205,3.188326582327051e-11,NA,37,46,46,2.084537480302977e-05,7.149029043654509e-11,-6.517496915974448
ENSG00000179218.13,CALR,2.924885269935666,0.7549282120674617,0.0034458323957595486,0.0016134934755188508,0.044537434596977385,0.0010567298155261873,NA,11,12,12,2.5906596983557334e-05,1.0113367013324678e-10,6.465246712465418
