gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,phi,uncalibrated_pvalue,uncalibrated_zscore
ENSG00000152969.17,JAKMIP1,-3.2986960458313743,-1.101694724648847,0.0009713502645634348,0.00043485624184970277,0.029722446844173377,0.02176628813504273,NA,7,9,9,8.69317995823048e-06,5.527242422343576e-07,-5.007043551691739
ENSG00000141458.12,NPC1,-1.502015687108105,-0.24938804005862134,0.13309305754376083,0.007529313264403001,0.1724472204126664,3.320936323381159e-09,NA,16,18,18,6.45894404811039e-05,9.081602141296533e-07,-4.910561383059645
ENSG00000183682.7,BMP8A,2.0427811718412907,0.19873708155899572,0.04107410520736316,0.014012899083704894,0.07944372787385491,0.00016769438249484954,NA,15,17,17,3.180541556502028e-05,9.235089831621257e-07,4.90727416207716
ENSG00000109323.8,MANBA,1.3845100967602457,0.4229812125740076,0.16620231863752966,0.0027295730483825617,0.03204185008035877,0.0194475135440023,NA,11,13,13,7.692829711342343e-05,9.454734345513283e-07,4.902660427077778
ENSG00000178997.11,EXD1,-1.5921697554693524,-0.1480781469083298,0.11134656695834305,0.022619122782191216,0.10343975515090777,1.051706191044726e-05,NA,13,13,13,5.5950667159577886e-05,1.0631294615078181e-06,-4.879578233626415
ENSG00000185088.13,RPS27L,-2.0242750506518026,-0.2296833960189737,0.04294185922380355,0.01016263221374273,0.05929723144121715,0.0011684232831916965,NA,36,38,38,3.187833521415712e-05,1.1306223515098822e-06,-4.86742409401955
ENSG00000103479.15,RBL2,1.9802985742429609,0.10111510853863473,0.047669988920338184,0.055197113946887005,0.4819503958485901,1.5030960561714098e-30,NA,39,45,45,3.327519764327143e-05,1.2521948199255893e-06,4.8471947633318955
ENSG00000213676.10,ATF6B,0.9412209673434533,0.36861196546627245,0.346591633942434,0.0031666674945295317,0.025064857593174592,0.038755818353955036,NA,8,8,8,0.0001647056043074773,1.8233520652158986e-06,4.77207761683298
ENSG00000270154.1,RP11-419I17.2,0.6496871544579044,0.3085233925789959,0.5158943230822477,0.005162979097906571,0.05445398973458007,0.002104659530174784,NA,5,6,6,0.0003500275784434276,2.011797829975596e-06,4.752235571870835
ENSG00000206344.7,HCG27,0.9478873664748384,0.08353460383240546,0.3431867971238909,0.05942049119113568,0.28063984803551084,1.553021067575624e-14,NA,72,85,85,0.00015956314432539613,2.2098420630796548e-06,4.7332214072122305
ENSG00000166971.16,AKTIP,1.9564205487804367,0.16089088387220202,0.050415633450268504,0.020218947030817502,0.2228889215285148,6.524297521012494e-12,NA,8,10,10,3.215217535198724e-05,2.3474900176238233e-06,4.720947091484494
ENSG00000204301.6,NOTCH4,-0.7321443489550711,-0.11094260277400401,0.4640804673378427,0.03660778072786801,0.20505856152201232,1.2175643056070592e-10,NA,97,104,104,0.00026651853746928803,2.775902315873037e-06,-4.686740752709422
ENSG00000090238.11,YPEL3,1.5352112980604937,0.21669898611627156,0.12473193401011232,0.008722081659861686,0.1325469142225316,7.640106695755511e-07,NA,33,38,38,5.504383441398795e-05,2.999967125329791e-06,4.670822071806431
ENSG00000256269.7,HMBS,1.8977480560438096,0.10315066602711088,0.057729278792298694,0.04054997581000487,0.26927119674212835,1.2313543102728559e-14,NA,20,22,22,3.355766234512945e-05,3.1386558040812337e-06,4.661531131003391
ENSG00000204267.13,TAP2,0.9965466449834315,0.07616725251826212,0.31898461514873755,0.0737996428058509,0.4040764332662523,8.178884314432174e-23,NA,56,71,71,0.0001372483071925123,3.653785138871154e-06,4.630162704697528
ENSG00000234745.10,HLA-B,0.7903701133483324,0.2861358832884475,0.4293116509358468,0.005025136241204286,0.055969461985907715,0.0014075445832761393,NA,24,33,33,0.00021988776366376153,4.076000099636904e-06,4.607468968379728
ENSG00000231852.6,CYP21A2,0.6222896024632063,0.11080124500455911,0.5337514568507249,0.03617433462611906,0.14751141184576794,7.849088498040539e-08,NA,40,45,45,0.00035876529971454977,4.080363362697263e-06,4.607246423522474
ENSG00000142694.6,EVA1B,-2.920374140632283,-0.19230347312605184,0.0034961138168134627,0.01209364249549148,0.1431121694677259,1.9159083173380466e-07,NA,15,15,15,9.793507014913417e-06,4.4575163671177425e-06,-4.588823253639852
ENSG00000114770.16,ABCC5,-1.2801244446900748,-0.3287011092834633,0.2005013728366546,0.004139448040838548,0.17033502444812074,1.4207661786159656e-08,NA,10,11,11,7.810034994270924e-05,5.002334583640634e-06,-4.564689796688717
ENSG00000141452.9,C18orf8,-1.4096829758936675,-0.18328310870321451,0.15863331375996137,0.01265496528176801,0.16722147845885185,1.5954645909291185e-08,NA,33,42,42,6.165574743765695e-05,6.396919592151461e-06,-4.512827011376937
ENSG00000175087.9,PDIK1L,1.5940723145745574,0.32587245535773873,0.1109198389960343,0.004044377213162998,0.08389145298936075,7.068004678549542e-05,NA,23,26,26,4.670684590296405e-05,6.470080160355868e-06,4.510415398797884
ENSG00000170632.13,ARMC10,2.4133848413435834,0.14553565034262259,0.015805121536365745,0.0200966743489926,0.18122341291802527,4.1925427344323175e-09,NA,29,31,31,1.6259330500501127e-05,7.625194812740788e-06,4.475446061117683
